ID;Plaats;Straat;PostCode;Huisnummer;HuishoudenID;WatermeterID;LeidingID
136;Rotterdam;Admiraliteitskade;3011TT;181;2;3;1
137;Rotterdam;Coolsestraat;3014LN;182;1;3;2
138;Rotterdam;Groenendaal;3011SR;185;4;2;2
139;Rotterdam;Jufferstraat;3011XM;186;2;2;2
140;Rotterdam;Schiedamsedijk;3011EP;187;4;3;2
141;Rotterdam;Lumeystraat;3039ZP;18A;4;2;3
142;Rotterdam;Dresselhuysstraat;3039ZJ;18A;3;3;1
143;Rotterdam;Doezastraat;3039ZE;18B;4;2;1
144;Rotterdam;Houtlaan;3016DA;18C;4;1;3
145;Rotterdam;Westerstraat;3016DH;18E;2;1;2
146;Rotterdam;Kruisplein;3014DB;19;3;2;3
147;Rotterdam;Noordmolenwerf;3011DC;19;4;2;3
148;Rotterdam;Westzeedijk;3015AA;191;1;3;2
149;Rotterdam;Westzeedijk;3016AL;192;4;1;1
150;Rotterdam;Nieuwehaven;3011VN;193;2;2;3
151;Rotterdam;Weena;3013AL;193;3;1;1
152;Rotterdam;Vasteland;3011BJ;195;2;3;2
153;Rotterdam;Mauritsstraat;3012CH;199;3;3;3
154;Rotterdam;Versijdenstraat;3033TH;19B;2;4;1
155;Rotterdam;Van Bijlandtplaats;3012GA;2;3;3;1
156;Rotterdam;Vasteland;3011BK;2;2;2;1
157;Rotterdam;Hofplein;3032AC;20;2;4;2
158;Rotterdam;Korte Hoogstraat;3011GL;20;4;2;1
159;Rotterdam;Groenendaal;3011ST;201;3;1;1
160;Rotterdam;Bajonetstraat;3014ZM;202;3;3;3
161;Rotterdam;Jacobusstraat;3012JP;204;1;1;1
162;Rotterdam;Weena;3013AL;205;2;4;2
163;Rotterdam;Jufferstraat;3011XM;206;2;2;2
164;Rotterdam;Westzeedijk;3015AA;207;3;1;3
165;Rotterdam;Goudsesingel;3011KB;20A;5;2;2
166;Rotterdam;Stadhoudersweg;3039CC;20A;3;2;2
167;Rotterdam;Van Houtenstraat;3039PD;20A;5;4;3
168;Rotterdam;Calandstraat;3016CB;20F;3;1;2
169;Rotterdam;Van Vollenhovenstraat;3016BH;20G;5;3;1
170;Rotterdam;Mauritsstraat;3012CE;21;3;2;3
171;Rotterdam;Scheepmakerspassage;3011VH;21;4;3;3
172;Rotterdam;Admiraliteitskade;3011TT;214;5;1;1
173;Rotterdam;Burgemeester van Walsumweg;3011MZ;214;2;3;3
174;Rotterdam;Mauritsstraat;3012CH;215;4;4;3
175;Rotterdam;Doelstraat;3011AJ;217;3;4;2
176;Rotterdam;Zijdewindestraat;3014NJ;21B;3;1;1
177;Rotterdam;Provenierssingel;3033EE;21C;4;4;1
178;Rotterdam;Henegouwerlaan;3014CA;22;3;4;1
179;Rotterdam;Obreenstraat;3033RK;22;5;4;3
180;Rotterdam;Schiedamsesingel;3012BC;221B;3;2;1
181;Rotterdam;Eendrachtsstraat;3012XS;222;1;1;3
182;Rotterdam;Gouvernestraat;3014PX;222;2;4;2
183;Rotterdam;Bierstraat;3011XA;223;2;1;3
184;Rotterdam;Gedempte Zalmhaven;3011BT;227;2;2;1
185;Rotterdam;Blaak;3011GB;229;1;2;3
186;Rotterdam;Adrianastraat;3014XM;22E;5;1;1
187;Rotterdam;Saftlevenstraat;3015BN;22E;1;2;3
188;Rotterdam;Mauritsplaats;3012CD;23;3;1;2
189;Rotterdam;Burgemeester van Walsumweg;3011MZ;232;5;2;2
190;Rotterdam;Karel Doormanstraat;3012GH;233;3;2;1
191;Rotterdam;Bajonetstraat;3014ZM;234;2;4;3
192;Rotterdam;Westzeedijk;3016AN;238;3;2;3
193;Rotterdam;Van Houtenstraat;3039PB;23A;2;2;1
194;Rotterdam;Bajonetstraat;3014ZA;23B;5;3;3
195;Rotterdam;Goudsewagenstraat;3011RH;23B;1;3;1
196;Rotterdam;Schiekade;3033BB;23C;4;3;3
197;Rotterdam;Groenendaal;3011SK;23D;4;2;3
198;Rotterdam;Palmdwarsstraat;3014LS;24;2;1;3
199;Rotterdam;Parklaan;3016BB;24;1;2;3
200;Rotterdam;Gouvernestraat;3014PM;247;5;2;3
201;Rotterdam;Mauritsstraat;3012CH;249J;3;4;3
202;Rotterdam;Pieter de Raadtstraat;3033VG;24A;3;1;1
203;Rotterdam;Hartmansstraat;3012VA;24C;2;2;2
204;Rotterdam;Pannekoekstraat;3011LG;24C;2;1;2
205;Rotterdam;Rochussenstraat;3015EA;25;5;4;2
206;Rotterdam;Westersingel;3015LJ;250;4;3;2
207;Rotterdam;Boomgaardsstraat;3012XG;252;4;4;3
208;Rotterdam;Van Oldenbarneveltplaats;3012AK;252;3;4;2
209;Rotterdam;Doelstraat;3011AJ;253;4;2;2
210;Rotterdam;Gedempte Zalmhaven;3011BT;253;2;4;3
211;Rotterdam;Proveniersstraat;3033CG;25A;5;1;2
212;Rotterdam;Gouvernestraat;3014PM;261;5;3;1
213;Rotterdam;Binnenrotte;3011HB;263;2;3;1
214;Rotterdam;Nieuwstraat;3011GM;264;2;3;2
215;Rotterdam;Eendrachtsweg;3012LB;26D;5;2;3
216;Rotterdam;Gerrit Sterkmanplein;3014RS;27;1;4;1
217;Rotterdam;Nicolaas Zasstraat;3033TB;27;4;3;2
218;Rotterdam;Van der Schellingstraat;3033VL;27;3;1;2
219;Rotterdam;Westzeedijk;3015AA;273;3;2;1
220;Rotterdam;Van der Sluysstraat;3033SR;276;3;1;1
221;Rotterdam;Goudsesingel;3011KH;276A;2;2;3
222;Rotterdam;Goudsesingel;3011KH;278E;1;3;1
223;Rotterdam;Rochussenstraat;3015EA;27A;5;1;1
224;Rotterdam;'s-Gravendijkwal;3014EC;28;1;1;1
225;Rotterdam;Spaansekade;3011ML;28;1;4;2
226;Rotterdam;Van Speykstraat;3014VL;28;1;2;2
227;Rotterdam;Zuster Hennekeplein;3033BW;28;4;4;1
228;Rotterdam;Joost Banckertsplaats;3012HM;280;2;4;3
229;Rotterdam;Goudsesingel;3011KH;280D;4;3;1
230;Rotterdam;Boompjes;3011XZ;288;2;2;2
231;Rotterdam;Hoevestraat;3033GD;28A;3;3;3
232;Rotterdam;Pannekoekstraat;3011LG;28C;3;3;1
233;Rotterdam;Schieweg;3039BB;28C;2;3;2
234;Rotterdam;Blaak;3011GB;293;2;3;3
235;Rotterdam;Wijnbrugstraat;3011XW;295;3;2;2
236;Rotterdam;Gouvernestraat;3014PX;296;4;2;1
237;Rotterdam;Karel Doormanstraat;3012GH;297B;4;2;2
238;Rotterdam;Nieuwe Binnenweg;3014GB;29A;3;3;1
239;Rotterdam;West-Kruiskade;3014AK;29A;2;3;1
240;Rotterdam;Meent;3011JC;29B;2;4;2
241;Rotterdam;Nolensstraat;3039PL;29B;4;4;1
242;Rotterdam;Nieuwe Binnenweg;3014GB;29C;3;1;3
243;Rotterdam;Anna Paulownastraat;3014JD;2B;5;1;2
244;Rotterdam;Kruisstraat;3012CV;3;3;4;3
245;Rotterdam;Westersingel;3014GR;30;4;3;1
246;Rotterdam;Botersloot;3011HE;301;3;4;2
247;Rotterdam;Rochussenstraat;3015ZB;302;1;1;1
248;Rotterdam;Adrianastraat;3014XK;303;3;1;3
249;Rotterdam;Groenendaal;3011ZW;307;3;2;1
250;Rotterdam;Breitnerstraat;3015XG;30A;3;4;2
251;Rotterdam;Hoevestraat;3033GD;30B;3;3;1
252;Rotterdam;Ochterveltstraat;3015XM;30B;2;2;3
253;Rotterdam;Pieter de Raadtstraat;3033VG;30B;1;2;3
254;Rotterdam;Doezastraat;3039ZG;30B;2;2;1
255;Rotterdam;1e Middellandstraat;3014BE;30B;2;4;1
256;Rotterdam;Schieweg;3039BB;30D;3;1;2
257;Rotterdam;Batavierenstraat;3014JH;31;5;3;3
258;Rotterdam;Binnenwegplein;3012KA;31;3;4;2
259;Rotterdam;Boompjes;3011XZ;313;2;2;3
260;Rotterdam;Schiedamsesingel;3012BC;315;4;4;2
261;Rotterdam;Kruisplein;3012CC;316;2;2;1
262;Rotterdam;Jufferstraat;3011XM;318;2;3;3
263;Rotterdam;Scheepstimmermanslaan;3016AE;31A;4;1;1
264;Rotterdam;Van Speykstraat;3014VB;31A;1;4;1
265;Rotterdam;Scheepstimmermanslaan;3016AE;31B;3;1;3
266;Rotterdam;Adrianastraat;3014XM;32;3;4;2
267;Rotterdam;Walenburgerplein;3039AM;32;1;2;1
268;Rotterdam;Boompjes;3011XZ;324;4;2;2
269;Rotterdam;Van der Schellingstraat;3033VN;32B;1;3;1
270;Rotterdam;Mauritsstraat;3012CE;33;1;1;3
271;Rotterdam;Boompjes;3011XZ;330;2;1;1
272;Rotterdam;Botersloot;3011HE;331;3;1;3
273;Rotterdam;Groenendaal;3011SL;33A;4;4;2
274;Rotterdam;Gouvernedwarsstraat;3014PZ;34;5;3;3
275;Rotterdam;Weena;3013AL;343;3;3;1
276;Rotterdam;Wijnbrugstraat;3011XW;348;4;3;3
277;Rotterdam;Schepenstraat;3039NJ;34C;1;1;2
278;Rotterdam;Nieuwe Binnenweg;3015BA;34E;5;4;3
279;Rotterdam;Zuster Hennekeplein;3033BW;35;5;1;1
280;Rotterdam;Burgemeester van Walsumweg;3011MZ;358;4;3;1
281;Rotterdam;Proveniersstraat;3033CH;35A;4;3;3
282;Rotterdam;Mariniersweg;3011ND;35C;4;4;2
283;Rotterdam;Schiekade;3033BB;35H;1;4;2
284;Rotterdam;Adrianaplein;3014XX;36;1;3;3
285;Rotterdam;Beurstraverse;3011AM;36;2;3;3
286;Rotterdam;Eendrachtsweg;3012LC;36;5;4;3
287;Rotterdam;Jufferstraat;3011XM;364;3;3;2
288;Rotterdam;Karel Doormanstraat;3012GH;365A;4;2;1
289;Rotterdam;Karel Doormanstraat;3012GR;366;5;1;2
290;Rotterdam;Spoorsingel;3033GL;36B;3;4;2
291;Rotterdam;Van Speykstraat;3014VM;36C;2;1;2
292;Rotterdam;Goudsesingel;3011KC;36E;4;4;2
293;Rotterdam;Delftseplein;3013AA;37;4;1;3
294;Rotterdam;Weenapad;3013AS;37;4;2;3
295;Rotterdam;Bredestraat;3011RD;37A;1;1;3
296;Rotterdam;Rochussenstraat;3015EB;37A;5;3;2
297;Rotterdam;Mauritsplaats;3012CD;38;2;2;2
298;Rotterdam;Valkenstraat;3011VR;38;4;4;2
299;Rotterdam;Vasteland;3011BJ;387;2;1;1
300;Rotterdam;Kruisplein;3012CC;390;2;3;3
301;Rotterdam;Van der Sluysstraat;3033SR;390;2;3;1
302;Rotterdam;Karel Doormanstraat;3012GR;390S;2;4;3
303;Rotterdam;Binnenrotte;3011HB;391;4;3;3
304;Rotterdam;Rochussenstraat;3015EB;39A;5;1;1
305;Rotterdam;Breitnerstraat;3015XA;39A;4;1;2
306;Rotterdam;Scheepmakershaven;3011VC;39C;4;2;3
307;Rotterdam;Westersingel;3014GS;39G;4;3;2
308;Rotterdam;Calandstraat;3016CA;3B;1;2;1
309;Rotterdam;Zijdewindestraat;3014NJ;3B;2;4;1
310;Rotterdam;Dresselhuysstraat;3039ZH;3C;3;2;3
311;Rotterdam;Jacobusstraat;3012JN;4;3;3;2
312;Rotterdam;Keerweer;3012KB;4;2;2;1
313;Rotterdam;Klein-Coolstraat;3033XS;4;4;1;1
314;Rotterdam;Plaza;3012CW;4;2;3;1
315;Rotterdam;Wijnkade;3011VZ;4;4;3;1
316;Rotterdam;Spaansekade;3011ML;40;4;2;2
317;Rotterdam;Kruisplein;3012CC;404;2;1;2
318;Rotterdam;Mariniersweg;3011NP;40B;2;1;3
319;Rotterdam;Breitnerstraat;3015XG;40B;5;4;3
320;Rotterdam;Stadhoudersweg;3039CD;40C;4;1;1
321;Rotterdam;Goudsesingel;3011KC;40D;4;2;2
322;Rotterdam;Baljuwstraat;3039AK;41;2;2;2
323;Rotterdam;Schiedamsedijk;3011ED;41;3;4;2
324;Rotterdam;Van der Sluysstraat;3033SC;41;3;4;3
325;Rotterdam;Groenendaal;3011ZW;417;3;4;1
326;Rotterdam;Klein-Coolstraat;3033XR;41B;5;4;1
327;Rotterdam;Wijnhaven;3011WH;41E;5;2;1
328;Rotterdam;Provenierssingel;3033EM;42;2;1;1
329;Rotterdam;Spaansekade;3011ML;42;2;1;3
330;Rotterdam;Haringvliet;3011ZP;425;3;4;1
331;Rotterdam;Groenendaal;3011ZW;429;2;3;2
332;Rotterdam;Meent;3011JL;42C;3;4;2
333;Rotterdam;Pannekoekstraat;3011LH;42C;4;2;3
334;Rotterdam;Boomgaardhof;3012JJ;43;1;2;2
335;Rotterdam;Diergaardesingel;3014AB;43;4;4;3
336;Rotterdam;Glashaven;3011XG;43;2;3;1
337;Rotterdam;Karel Doormanstraat;3012GD;43;3;3;3
338;Rotterdam;Oostmolenstraat;3011VP;43;2;2;3
339;Rotterdam;Rochussenstraat;3015ZC;430;5;4;3
340;Rotterdam;Weena;3013AL;439A;4;1;3
341;Rotterdam;Bajonetstraat;3014ZB;43B;4;4;1
342;Rotterdam;Vasteland;3011BJ;447;4;1;2
343;Rotterdam;Boompjes;3011XZ;449;3;2;3
344;Rotterdam;Karel Doormanstraat;3012GH;449D;4;3;3
345;Rotterdam;Spoorsingel;3033GM;44A;4;3;1
346;Rotterdam;Van der Sluysstraat;3033ST;450;2;3;3
347;Rotterdam;Pompenburg;3011AX;452;3;4;2
348;Rotterdam;Vasteland;3011BJ;455;1;2;3
349;Rotterdam;Lijnbaan;3012EK;45B;2;4;2
350;Rotterdam;Lombardkade;3011ZB;45B;2;1;1
351;Rotterdam;Schietbaanstraat;3014ZW;45B;1;1;2
352;Rotterdam;Wijnhaven;3011WH;45F;1;1;1
353;Rotterdam;Kipstraat;3011ZX;45J;1;1;1
354;Rotterdam;Korte Bajonetstraat;3014ZS;46;4;1;2
355;Rotterdam;Boompjes;3011XZ;463;3;2;3
356;Rotterdam;Rochussenstraat;3015ZC;466;5;1;2
357;Rotterdam;Pannekoekstraat;3011LH;46C;4;2;2
358;Rotterdam;Mauritsplaats;3012CD;47;4;3;2
359;Rotterdam;Goudsesingel;3011KP;470;2;2;3
360;Rotterdam;Pompenburg;3011AX;478;2;2;3
361;Rotterdam;Witte de Withstraat;3012BM;47A;3;2;3
362;Rotterdam;Scheepmakershaven;3011VC;47C;4;2;2
363;Rotterdam;Provenierssingel;3033EM;48;3;2;2
364;Rotterdam;Gaffelstraat;3014RK;48A;5;2;1
365;Rotterdam;Proveniersstraat;3033CL;48C;1;2;2
366;Rotterdam;Bajonetstraat;3014ZC;49;4;3;2
367;Rotterdam;Van Ghentstraat;3012EA;49;2;2;2
368;Rotterdam;Harddraverstraat;3033XJ;49A;5;3;1
369;Rotterdam;Stationssingel;3033HC;49B;3;4;2
370;Rotterdam;Bloemkwekersstraat;3014PB;4A;2;2;3
371;Rotterdam;Pannekoekstraat;3011LE;4A;4;4;2
372;Rotterdam;Pannekoekstraat;3011LE;4B;5;1;3
373;Rotterdam;Bierstraat;3011XA;4F;4;4;3
374;Rotterdam;Nieuwe Binnenweg;3014GA;5;4;3;2
375;Rotterdam;Kruisplein;3012CC;508;4;4;3
376;Rotterdam;Henegouwerlaan;3014CC;50A;4;1;2
377;Rotterdam;Schepenstraat;3039NK;50A;2;1;1
378;Rotterdam;Doelstraat;3011AZ;51;1;3;2
379;Rotterdam;Willemsplein;3016DR;515;4;3;3
380;Rotterdam;Willemsplein;3016DR;518;5;3;1
381;Rotterdam;Lombardkade;3011ZD;51B;5;1;2
382;Rotterdam;Kolk;3011MD;52;5;2;2
383;Rotterdam;Willemsplein;3016DR;521;1;1;3
384;Rotterdam;Van der Sluysstraat;3033SV;524;3;1;3
385;Rotterdam;Bloemstraat;3014KJ;52A;4;3;1
386;Rotterdam;Stadhoudersweg;3039CE;52C;1;1;2
387;Rotterdam;Bloemstraat;3014KJ;52E;4;4;3
388;Rotterdam;Baljuwstraat;3039AK;53;5;3;1
389;Rotterdam;Vissersdijk;3011GW;53;4;3;1
390;Rotterdam;Gedempte Zalmhaven;3011BT;533;1;1;1
391;Rotterdam;Kruisplein;3012CC;536;3;2;1
392;Rotterdam;Haringvliet;3011ZP;539;3;3;3
393;Rotterdam;Mauritsplaats;3012CD;54;3;1;1
394;Rotterdam;Obreenstraat;3033RK;54;2;4;1
395;Rotterdam;Westplein;3016BM;54;1;1;1
396;Rotterdam;Gaffelstraat;3014RK;54A;4;2;3
397;Rotterdam;Blaak;3011TA;554;5;1;3
398;Rotterdam;Pompenburg;3011AX;554;1;1;2
399;Rotterdam;Rochussenstraat;3015ZD;558;5;3;1
400;Rotterdam;Kipstraat;3011ZX;55B;2;2;1
401;Rotterdam;Gouvernestraat;3014PJ;55C;1;1;1
402;Rotterdam;Roobrughof;3011MJ;56;2;2;2
403;Rotterdam;Boompjes;3011XZ;561;4;1;1
404;Rotterdam;Gedempte Zalmhaven;3011BT;563;4;4;2
405;Rotterdam;Josephstraat;3014TH;57;4;1;1
406;Rotterdam;Blaak;3011TA;570;2;1;1
407;Rotterdam;Boompjes;3011XZ;572;4;3;2
408;Rotterdam;Breitnerstraat;3015XB;57B;1;1;2
409;Rotterdam;Oude Binnenweg;3012JA;57B;3;1;3
410;Rotterdam;Provenierssingel;3033EN;58;3;1;2
411;Rotterdam;Gedempte Zalmhaven;3011BT;587;3;1;3
412;Rotterdam;Blaak;3011TA;588;4;2;1
413;Rotterdam;Van Speykstraat;3014VM;58B;1;3;1
414;Rotterdam;Van Vollenhovenstraat;3016BK;58B;3;3;3
415;Rotterdam;Weenapad;3013AS;59;4;4;2
416;Rotterdam;West-Kruiskade;3014AL;59B;4;2;3
417;Rotterdam;Vliesridderstraat;3039ZW;5A;4;3;1
418;Rotterdam;West-Kruiskade;3014AJ;5A;2;1;1
419;Rotterdam;Bajonetstraat;3014ZA;5B;4;2;2
420;Rotterdam;Dresselhuysstraat;3039ZH;5B;2;3;2
421;Rotterdam;William Boothlaan;3012VG;5B;5;1;2
422;Rotterdam;Schietbaanstraat;3014ZT;5C;4;3;2
423;Rotterdam;Sint-Janstraat;3011SB;5C;3;2;2
424;Rotterdam;Veerkade;3016DE;5D;4;4;2
425;Rotterdam;Witte de Withstraat;3012BK;5D;2;3;3
426;Rotterdam;Westersingel;3014GM;5F;1;1;1
427;Rotterdam;Baljuwplein;3033XA;6;3;3;2
428;Rotterdam;Josephlaan;3014TD;6;4;4;2
429;Rotterdam;Binnenwegplein;3012KA;60;3;2;3
430;Rotterdam;Schepenstraat;3039NK;60C;2;2;2
431;Rotterdam;Baljuwplein;3033XD;61;4;4;3
432;Rotterdam;Coolsedwarsstraat;3014LP;61;4;1;3
433;Rotterdam;Koestraat;3011MC;61;3;3;2
434;Rotterdam;Kortenaerstraat;3012VC;61;4;3;3
435;Rotterdam;Goudsesingel;3011KT;618;2;1;3
436;Rotterdam;Statensingel;3039LD;61C;4;2;1
437;Rotterdam;Obreenstraat;3033RK;62;4;4;3
438;Rotterdam;Blaak;3011TA;624;2;1;3
439;Rotterdam;Statensingel;3039LR;62B;2;3;3
440;Rotterdam;Van Speykstraat;3014VD;63;2;1;3
441;Rotterdam;Witte de Withstraat;3012BN;63;4;2;3
442;Rotterdam;Kruisplein;3012CC;630;2;3;1
